nct_number,min_age,max_age,gender,bmi_min,bmi_max,hba1c_min,hba1c_max,pregnant_allowed
NCT06751823,40.0,100.0,All,,,,,False
NCT01752842,30.0,65.0,All,,,,,False
NCT05383859,18.0,,All,,,,,True
NCT05841225,18.0,,All,,,,,True
NCT05451147,20.0,60.0,All,,,,,False
NCT05164263,18.0,65.0,All,,,7.0,10.0,False
NCT04847219,18.0,,All,,,,,False
NCT04450394,18.0,75.0,All,,,,,True
NCT04810507,19.0,75.0,All,,,,8.5,False
NCT06596967,55.0,,All,,,,,True
NCT01197963,21.0,55.0,All,,,7.5,,False
NCT06258148,18.0,75.0,All,,40.0,,11.0,False
NCT07056803,18.0,,All,,,6.5,,False
NCT00335712,45.0,74.0,All,,,,,True
NCT04744636,18.0,70.0,All,,35.0,6.5,,False
NCT06427083,19.0,80.0,All,35.0,,,,False
NCT00871572,18.0,70.0,All,,,,,False
NCT05407961,18.0,70.0,All,,,,,True
NCT01472185,18.0,75.0,All,,,7.0,10.0,False
NCT07239440,19.0,,All,,40.0,,,True
NCT06067399,40.0,,All,,,,,False
NCT07278531,18.0,,All,,,,,False
NCT06465693,18.0,,All,,25.0,7.0,9.5,False
NCT04168541,20.0,75.0,All,,,,,False
NCT07219667,18.0,,All,,,,,False
NCT03249506,18.0,,All,,,,,True
NCT07144241,40.0,65.0,All,,,,,False
NCT06147245,18.0,75.0,All,,,53.0,,True
NCT01346046,18.0,,All,,,,,False
NCT06222086,18.0,65.0,All,,,,,True
NCT03014479,20.0,,All,,,,,False
NCT06374186,18.0,65.0,All,,,,,True
NCT04318184,18.0,65.0,All,,,,,True
NCT05941000,45.0,,All,,,,,False
NCT06293664,21.0,50.0,All,,,,,False
NCT03694470,,,All,,,,,True
NCT03416127,30.0,60.0,All,25.0,34.9,,,False
NCT01005069,18.0,60.0,All,18.5,,,,False
NCT01001611,18.0,80.0,All,,,6.5,9.0,False
NCT05633810,55.0,80.0,All,,,8.0,,False
NCT07271251,18.0,,All,,,,,False
NCT02661906,30.0,65.0,All,,,,,False
NCT06935396,40.0,65.0,All,,,,,True
NCT04296825,35.0,68.0,All,,,,,True
NCT05327595,18.0,70.0,All,,,,,True
NCT05659537,18.0,,All,,,,,True
NCT00875394,30.0,78.0,All,,,,,False
NCT00905528,30.0,80.0,All,,,,,True
NCT05579314,18.0,70.0,All,,,6.5,8.5,True
NCT06739122,10.0,17.0,All,,,,,True
NCT04914559,20.0,75.0,All,,,,,False
NCT07122102,18.0,,All,,35.0,,9.0,False
NCT02771093,20.0,,All,,,,,False
NCT05292833,18.0,,All,,,,,False
NCT02585505,30.0,70.0,All,,,,,True
NCT00071422,35.0,70.0,All,,,,,True
NCT06290947,40.0,65.0,Male,,,,,True
NCT07060456,18.0,,All,,,,,True
NCT05086445,20.0,70.0,All,,,6.5,,True
NCT06235086,18.0,75.0,All,,40.0,,11.0,False
NCT06972732,19.0,,All,,,,,True
NCT05629117,17.0,,All,,,,,True
NCT02847091,20.0,74.0,All,,,,,False
NCT06273657,18.0,,All,,,,,False
NCT05026528,18.0,,All,,,48.0,,True
NCT00817778,30.0,75.0,All,,,,10.0,False
NCT02717078,18.0,,All,,27.0,,,False
NCT03829891,18.0,70.0,All,,35.0,,11.0,False
NCT01309620,18.0,90.0,All,,,,,True
NCT02143765,18.0,70.0,All,,,,,False
NCT06459596,18.0,,All,,,,,True
NCT05366868,20.0,,All,,,,,False
NCT02662400,30.0,65.0,All,,,,7.5,True
NCT03764280,8.0,21.0,All,,,,11.0,True
NCT04823208,20.0,70.0,All,,,6.5,,True
NCT06176703,18.0,,All,,,,,False
NCT01494987,18.0,75.0,All,,,7.0,10.0,False
NCT01694758,18.0,,All,,,,,False
NCT01578096,18.0,,All,,,,,True
NCT06819371,40.0,65.0,All,,,,,True
NCT07181304,19.0,,All,,,,,False
NCT04181424,21.0,,All,,,8.0,,True
NCT06757751,18.0,80.0,All,,,,,False
NCT00545584,18.0,,All,,,,,True
NCT06493955,18.0,,All,,,9.0,,False
NCT06419816,19.0,80.0,All,,,,,False
NCT06974825,18.0,65.0,All,,35.0,,10.0,False
NCT05130463,19.0,,All,,,,,True
NCT05134662,18.0,65.0,All,,,,,False
NCT06861062,40.0,79.0,All,,,,,False
NCT04924400,18.0,,All,,,,,False
NCT06923046,12.0,18.0,All,,,,,False
NCT07234864,18.0,65.0,All,22.5,,7.5,,False
NCT03951753,20.0,74.0,All,,,,,True
NCT04240171,35.0,70.0,All,,,7.0,,True
NCT02222350,20.0,69.0,All,,,7.0,,True
NCT04413357,20.0,75.0,All,,,,,False
NCT04957914,18.0,70.0,All,,,,,True
NCT04725890,18.0,70.0,All,,,,7.5,False
NCT07007676,60.0,,All,,,7.5,,True
NCT04755660,50.0,,All,,,,,True
NCT07058558,40.0,,All,,,,,True
NCT04217291,18.0,75.0,All,,35.0,,11.0,False
NCT05362071,45.0,,All,,,,,True
NCT03538743,18.0,70.0,All,,,,,True
NCT05227677,20.0,70.0,All,,,7.5,,False
NCT01812122,20.0,75.0,All,,,,,True
NCT07145684,40.0,65.0,All,,,7.0,,False
NCT07262788,18.0,75.0,All,27.0,,60.0,,False
NCT04143802,20.0,70.0,All,,,,,True
NCT05307731,18.0,70.0,All,,,,,True
NCT07075796,18.0,,All,,,,,False
NCT04276428,20.0,74.0,All,,,,,True
NCT03736785,18.0,,All,,,,,True
NCT01865474,25.0,65.0,All,,,,,False
NCT05407233,18.0,,All,,,,,False
NCT04535700,18.0,,All,,,,,False
NCT03131687,18.0,75.0,All,,,7.0,10.5,True
NCT07245082,18.0,,All,,,,,True
NCT00035568,20.0,75.0,All,,,,,True
NCT05814393,19.0,,All,,,,,True
NCT06264661,40.0,60.0,All,,,,,True
NCT06120881,10.0,21.0,All,,,,,True
NCT02189135,18.0,75.0,All,,,,,False
NCT07079085,,,All,,,,,False
NCT06202079,18.0,75.0,All,,,,10.0,False
NCT06203275,20.0,65.0,All,25.0,,,,False
NCT01105429,18.0,65.0,All,,,,,False
NCT00044707,18.0,60.0,All,,,,,True
NCT06351566,35.0,70.0,All,,,6.5,,False
NCT00949091,18.0,68.0,All,,,,,True
NCT01299844,22.0,,All,,,,,True
NCT04161430,18.0,75.0,All,,,,9.5,False
NCT05566847,18.0,74.0,All,,,,,False
NCT02292433,20.0,64.0,All,,,,,False
NCT04556760,18.0,75.0,All,,,6.0,9.5,False
NCT07241897,40.0,75.0,All,,,,,False
NCT00363519,20.0,,All,,,,,True
NCT04235959,20.0,70.0,All,,,,,True
NCT05802927,21.0,65.0,All,18.5,,,,False
NCT03625856,20.0,65.0,All,,,,,False
NCT01657227,18.0,65.0,All,,,,,False
NCT04412798,25.0,75.0,All,,22.0,8.5,,False
NCT00363948,20.0,74.0,All,,,,,True
NCT00363844,20.0,,All,,,,,True
NCT06411275,18.0,75.0,All,,,7.5,,True
NCT00309712,18.0,,All,,,,,False
NCT05145673,35.0,77.0,All,,,,,False
NCT03495908,21.0,,All,,,,,False
NCT01862939,18.0,45.0,All,,,,,False
NCT02851849,21.0,70.0,All,,,,,False
NCT00952991,35.0,70.0,All,,,,,True
NCT02954601,20.0,75.0,All,,,,,False
NCT06407245,30.0,75.0,All,,,,8.5,False
NCT04313829,18.0,65.0,All,,,,,True
